spine_num,title,director,release_year
154,The Horse's Mouth,Ronald Neame,1958
285,Ashes and Diamonds,Andrzej Wajda,1958
367,The Haunted Strangler,Robert Day,1958
429,The Lovers,Louis Malle,1958
537,The Magician,Ingmar Bergman,1958
573,The Music Room,Satyajit Ray,1958
580,Le beau Serge,Claude Chabrol,1958
645,The Ballad of Narayama,Keisuke Kinoshita,1958
1016,The Fabulous World of Jules Verne,Karel Zeman,1958
5,The 400 Blows,François Truffaut,1959
48,Black Orpheus,Marcel Camus,1959
69,Testament of Orpheus,Jean Cocteau,1959
84,Good Morning,Yasujirō Ozu,1959
148,Ballad of a Soldier,Grigori Chukhrai,1959
196,Hiroshima mon amour,Alain Resnais,1959
251,Shadows,John Cassavetes,1959
314,Pickpocket,Robert Bresson,1959
365,First Man into Space,Robert Day,1959
366,The Atomic Submarine,Spencer Gordon Bennet,1959
368,Corridors of Blood,Robert Day,1959
378,Fires on the Plain,Kon Ichikawa,1959
463,Il Generale Della Rovere,Roberto Rossellini,1959
480,The Human Condition,Masaki Kobayashi,1959
581,Les cousins,Claude Chabrol,1959
600,Anatomy of a Murder,Otto Preminger,1959
601,Letter Never Sent,Mikhail Kalatozov,1959
763,The Bridge,Bernhard Wicki,1959
786,Apur Sansar,Satyajit Ray,1959
950,Some Like It Hot,Billy Wilder,1959
58,Peeping Tom,Michael Powell,1960
98,L'avventura,Michelangelo Antonioni,1960
105,Spartacus,Stanley Kubrick,1960
129,Le trou,Jacques Becker,1960
225,Tunes of Glory,Ronald Neame,1960
260,Eyes Without a Face,Georges Franju,1960
315,Shoot the Piano Player,François Truffaut,1960
319,The Bad Sleep Well,Akira Kurosawa,1960
321,The Virgin Spring,Ingmar Bergman,1960
352,Jigoku,Nobuo Nakagawa,1960
377,When a Woman Ascends the Stairs,Mikio Naruse,1960
408,Breathless,Jean-Luc Godard,1960
434,Classe tous risques,Claude Sautet,1960
515,The Fugitive Kind,Sidney Lumet,1960
570,Zazie dans le Métro,Louis Malle,1960
637,Purple Noon,René Clément,1960
690,The Housemaid,Kim Ki-young,1960
733,La dolce vita,Federico Fellini,1960
811,The Naked Island,Kaneto Shindo,1960
960,La vérité,Henri-Georges Clouzot,1960
993,The Cloud-Capped Star,Ritwik Ghatak,1960
52,Yojimbo,Akira Kurosawa,1961
194,Il posto,Ermanno Olmi,1961
209,Through a Glass Darkly,Ingmar Bergman,1961
228,Salvatore Giuliano,Francesco Rosi,1961
238,A Woman Is a Woman,Jean-Luc Godard,1961
286,Divorce Italian Style,Pietro Germi,1961
332,Viridiana,Luis Buñuel,1961
333,Fists in the Pocket,Marco Bellocchio,1961
428,Blast of Silence,Allen Baron,1961
478,Last Year at Marienbad,Alain Resnais,1961
572,Léon Morin@ Priest,Jean-Pierre Melville,1961
648,Chronicle of a Summer,Jean Rouch & Edgar Morin,1961
678,La notte,Michelangelo Antonioni,1961
714,Lola,Jacques Demy,1961
727,The Innocents,Jack Clayton,1961
802,Paris Belongs to Us,Jacques Rivette,1961
829,A Taste of Honey,Tony Richardson,1961
844,One-Eyed Jacks,Marlon Brando,1961
850,Something Wild,Jack Garfein,1961
945,A Raisin in the Sun,Daniel Petrie,1961
53,Sanjuro,Akira Kurosawa,1962
63,Carnival of Souls,Herk Harvey,1962
73,Cléo from 5 to 7,Agnès Varda,1962
195,I fidanzati,Ermanno Olmi,1962
210,Winter Light,Ingmar Bergman,1962
212,Ingmar Bergman Makes a Movie,Vilgot Sjöman,1962
215,Knife in the Water,Roman Polanski,1962
236,Mamma Roma,Pier Paolo Pasolini,1962
272,La commare secca,Bernardo Bertolucci,1962
278,L'eclisse,Michelangelo Antonioni,1962
281,Jules and Jim,François Truffaut,1962
302,Harakiri,Masaki Kobayashi,1962
393,Pitfall,Hiroshi Teshigahara,1962
397,Ivan's Childhood,Andrei Tarkovsky,1962
424,Mafioso,Alberto Lattuada,1962
446,An Autumn Afternoon,Yasujirō Ozu,1962
447,Le doulos,Jean-Pierre Melville,1962
459,The Exterminating Angel,Luis Buñuel,1962
472,Pigs and Battleships,Shohei Imamura,1962
512,Vivre sa vie,Jean-Luc Godard,1962
707,Il sorpasso,Dino Risi,1962
728,Sundays and Cybele,Serge Bourguignon,1962
803,The Manchurian Candidate,John Frankenheimer,1962
1017,The Fabulous Baron Munchausen,Karel Zeman,1962
19,Shock Corridor,Samuel Fuller,1963
24,High and Low,Akira Kurosawa,1963
43,Lord of the Flies,Peter Brook,1963
57,Charade,Stanley Donen,1963
121,Billy Liar,John Schlesinger,1963
140,8½,Federico Fellini,1963
171,Contempt,Jean-Luc Godard,1963
211,The Silence,Ingmar Bergman,1963
235,The Leopard,Luchino Visconti,1963
268,Youth of the Beast,Seijun Suzuki,1963
343,The Bakery Girl of Monceau,Éric Rohmer,1963
344,Suzanne's Career,Éric Rohmer,1963
355,Hands Over the City,Francesco Rosi,1963
417,This Sporting Life,Lindsay Anderson,1963
430,The Fire Within,Louis Malle,1963
473,The Insect Woman,Shohei Imamura,1963
610,The Organizer,Mario Monicelli,1963
668,The Big City,Satyajit Ray,1963
692,It's a Mad@ Mad@ Mad@ Mad World,Stanley Kramer,1963
710,Judex,Georges Franju,1963
715,Bay of Angels,Jacques Demy,1963
824,Muriel@ or The Time of Return,Alain Resnais,1963
840,The Executioner,Luis García Berlanga,1963
910,Tom Jones,Tony Richardson,1963
912,An Actor's Revenge,Kon Ichikawa,1963
1010,Le petit soldat,Jean-Luc Godard,1963
1027,The Great Escape,John Sturges,1963
18,The Naked Kiss,Samuel Fuller,1964
117,Diary of a Chambermaid,Luis Buñuel,1964
127,Gertrud,Carl Theodor Dreyer,1964
174,Band of Outsiders,Jean-Luc Godard,1964
226,Onibaba,Kaneto Shindo,1964
298,Gate of Flesh,Seijun Suzuki,1964
350,Seduced and Abandoned,Pietro Germi,1964
394,The Woman in the Dunes,Hiroshi Teshigahara,1964
404,Robinson Crusoe on Mars,Byron Haskin,1964
474,Intentions of Murder,Shohei Imamura,1964
522,Red Desert,Michelangelo Antonioni,1964
564,Pale Flower,Masahiro Shinoda,1964
596,Three Outlaw Samurai,Hideo Gosha,1964
669,Charulata,Satyajit Ray,1964
688,Dry Summer,Metin Erksan,1964
711,A Hard Day's Night,Richard Lester,1964
716,The Umbrellas of Cherbourg,Jacques Demy,1964
749,The Soft Skin,François Truffaut,1964
821,Dr. Strangelove@ or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964
969,Diamonds of the Night,Jan Němec,1964
1011,Fail Safe,Sidney Lumet,1964
25,Alphaville,Jean-Luc Godard,1965
90,Kwaidan,Masaki Kobayashi,1965
130,The Shop on Main Street,Elmar Klos & Ján Kadár,1965
144,Loves of a Blonde,Miloš Forman,1965
149,Juliet of the Spirits,Federico Fellini,1965
155,Tokyo Olympiad,Kon Ichikawa,1965
159,Red Beard,Akira Kurosawa,1965
299,Story of a Prostitute,Seijun Suzuki,1965
