release_year,title,director,spine_num,tmdb_id,iffy
1959,Pickpocket,Robert Bresson,314,690,False
1959,First Man into Space,Robert Day,365,28955,False
1959,The Atomic Submarine,Spencer Gordon Bennet,366,37467,False
1959,Fires on the Plain,Kon Ichikawa,378,31427,False
1959,Il Generale Della Rovere,Roberto Rossellini,463,43100,False
1959,Les cousins,Claude Chabrol,581,2363,False
1959,Anatomy of a Murder,Otto Preminger,600,93,False
1959,The Bridge,Bernhard Wicki,763,1566,True
1959,Apur Sansar,Satyajit Ray,786,896,False
1959,Some Like It Hot,Billy Wilder,950,239,False
1960,Peeping Tom,Michael Powell,58,11167,False
1960,L'avventura,Michelangelo Antonioni,98,5165,False
1960,Spartacus,Stanley Kubrick,105,967,False
1960,Tunes of Glory,Ronald Neame,225,43048,False
1960,Eyes Without a Face,Georges Franju,260,31417,False
1960,Shoot the Piano Player,François Truffaut,315,1818,False
1960,The Bad Sleep Well,Akira Kurosawa,319,31589,False
1960,The Virgin Spring,Ingmar Bergman,321,11656,False
1960,Jigoku,Nobuo Nakagawa,352,50173,True
1960,When a Woman Ascends the Stairs,Mikio Naruse,377,36872,False
1960,Breathless,Jean-Luc Godard,408,269,False
1960,Classe tous risques,Claude Sautet,434,34145,False
1960,The Fugitive Kind,Sidney Lumet,515,47837,False
1960,Zazie dans le Métro,Louis Malle,570,2546,False
1960,Purple Noon,René Clément,637,10363,False
1960,The Housemaid,Kim Ki-young,690,42506,False
1960,La dolce vita,Federico Fellini,733,439,False
1960,The Naked Island,Kaneto Shindo,811,3764,False
1960,La vérité,Henri-Georges Clouzot,960,61711,False
1960,The Cloud-Capped Star,Ritwik Ghatak,993,59239,False
1961,Yojimbo,Akira Kurosawa,52,11878,False
1961,Through a Glass Darkly,Ingmar Bergman,209,11602,False
1961,A Woman Is a Woman,Jean-Luc Godard,238,31522,False
1961,Divorce Italian Style,Pietro Germi,286,20271,False
1961,Viridiana,Luis Buñuel,332,4497,False
1961,Blast of Silence,Allen Baron,428,32008,False
1961,Last Year at Marienbad,Alain Resnais,478,4024,False
1961,Léon Morin@ Priest,Jean-Pierre Melville,572,63892,False
1961,Chronicle of a Summer,Jean Rouch & Edgar Morin,648,84972,False
1961,Lola,Jacques Demy,714,40641,False
1961,The Innocents,Jack Clayton,727,16372,True
1961,Paris Belongs to Us,Jacques Rivette,802,43026,False
1961,A Taste of Honey,Tony Richardson,829,25062,False
1961,One-Eyed Jacks,Marlon Brando,844,18647,False
1961,Something Wild,Jack Garfein,850,82944,False
1961,A Raisin in the Sun,Daniel Petrie,945,29478,False
1962,Sanjuro,Akira Kurosawa,53,11712,False
1962,Carnival of Souls,Herk Harvey,63,16093,False
1962,Cléo from 5 to 7,Agnès Varda,73,499,False
1962,Knife in the Water,Roman Polanski,215,11502,False
1962,Mamma Roma,Pier Paolo Pasolini,236,47796,False
1962,La commare secca,Bernardo Bertolucci,272,42999,False
1962,L'eclisse,Michelangelo Antonioni,278,21135,False
1962,Jules and Jim,François Truffaut,281,1628,False
1962,Harakiri,Masaki Kobayashi,302,14537,False
1962,Pitfall,Hiroshi Teshigahara,393,54146,False
1962,Ivan's Childhood,Andrei Tarkovsky,397,31442,False
1962,Mafioso,Alberto Lattuada,424,34866,False
1962,An Autumn Afternoon,Yasujirō Ozu,446,50759,False
1962,Le doulos,Jean-Pierre Melville,447,20778,False
1962,The Exterminating Angel,Luis Buñuel,459,29264,False
1962,Vivre sa vie,Jean-Luc Godard,512,1626,False
1962,Il sorpasso,Dino Risi,707,24188,False
1962,Sundays and Cybele,Serge Bourguignon,728,43001,False
1962,The Manchurian Candidate,John Frankenheimer,803,982,False
1962,The Fabulous Baron Munchausen,Karel Zeman,1017,41213,False
1963,Shock Corridor,Samuel Fuller,19,25504,False
1963,High and Low,Akira Kurosawa,24,12493,False
1963,Lord of the Flies,Peter Brook,43,9960,False
1963,Charade,Stanley Donen,57,4808,False
1963,Billy Liar,John Schlesinger,121,26535,False
1963,8½,Federico Fellini,140,422,True
1963,Contempt,Jean-Luc Godard,171,266,False
1963,The Silence,Ingmar Bergman,211,11506,False
1963,The Leopard,Luchino Visconti,235,1040,False
1963,Youth of the Beast,Seijun Suzuki,268,37939,False
1963,The Bakery Girl of Monceau,Éric Rohmer,343,81399,False
1963,Suzanne's Career,Éric Rohmer,344,86764,False
1963,Hands Over the City,Francesco Rosi,355,58383,False
1963,This Sporting Life,Lindsay Anderson,417,18774,False
1963,The Fire Within,Louis Malle,430,2593,False
1963,The Insect Woman,Shohei Imamura,473,42984,False
1963,The Organizer,Mario Monicelli,610,51092,False
1963,The Big City,Satyajit Ray,668,60567,False
1963,It's a Mad@ Mad@ Mad@ Mad World,Stanley Kramer,692,11576,False
1963,Judex,Georges Franju,710,56800,False
1963,Bay of Angels,Jacques Demy,715,60773,False
1963,Muriel@ or The Time of Return,Alain Resnais,824,54563,False
1963,The Executioner,Luis García Berlanga,840,4498,True
1963,Tom Jones,Tony Richardson,910,5769,False
1963,An Actor's Revenge,Kon Ichikawa,912,27197,False
1963,Le petit soldat,Jean-Luc Godard,1010,50785,False
1963,The Great Escape,John Sturges,1027,5925,False
1964,The Naked Kiss,Samuel Fuller,18,26031,False
1964,Diary of a Chambermaid,Luis Buñuel,117,36245,False
1964,Gertrud,Carl Theodor Dreyer,127,34181,False
1964,Band of Outsiders,Jean-Luc Godard,174,8073,False
1964,Onibaba,Kaneto Shindo,226,3763,False
1964,Gate of Flesh,Seijun Suzuki,298,86666,False
1964,Seduced and Abandoned,Pietro Germi,350,42790,False
1964,Robinson Crusoe on Mars,Byron Haskin,404,7348,False
1964,Intentions of Murder,Shohei Imamura,474,49571,False
1964,Red Desert,Michelangelo Antonioni,522,26638,False
1964,Pale Flower,Masahiro Shinoda,564,61475,False
1964,Three Outlaw Samurai,Hideo Gosha,596,58878,False
1964,Charulata,Satyajit Ray,669,35790,False
1964,A Hard Day's Night,Richard Lester,711,704,False
1964,The Umbrellas of Cherbourg,Jacques Demy,716,5967,False
1964,The Soft Skin,François Truffaut,749,1719,False
1964,Dr. Strangelove@ or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,821,935,False
1964,Diamonds of the Night,Jan Němec,969,100589,False
1964,Fail Safe,Sidney Lumet,1011,502,False
1965,Alphaville,Jean-Luc Godard,25,8072,False
1965,Kwaidan,Masaki Kobayashi,90,30959,False
1965,The Shop on Main Street,Elmar Klos & Ján Kadár,130,25905,False
1965,Loves of a Blonde,Miloš Forman,144,39387,False
1965,Juliet of the Spirits,Federico Fellini,149,19120,False
1965,Tokyo Olympiad,Kon Ichikawa,155,43618,False
1965,Red Beard,Akira Kurosawa,159,3780,False
1965,Story of a Prostitute,Seijun Suzuki,299,39506,False
1965,Sword of the Beast,Hideo Gosha,311,46917,False
1965,Samurai Spy,Masahiro Shinoda,312,46916,False
1965,The Naked Prey,Cornel Wilde,415,18513,False
1965,Le bonheur,Agnès Varda,420,53023,False
1965,Pierrot le fou,Jean-Luc Godard,421,2786,False
1965,The Spy Who Came in from the Cold,Martin Ritt,452,13580,False
1965,Simon of the Desert,Luis Buñuel,460,36265,False
1965,Repulsion,Roman Polanski,483,11481,False
1965,The Moment of Truth,Francesco Rosi,595,86785,False
1965,I Knew Her Well,Antonio Pietrangeli,801,59336,False
1966,Andrei Rublev,Andrei Tarkovsky,34,895,False
1966,Tokyo Drifter,Seijun Suzuki,39,45706,True
1966,Closely Watched Trains,Jiří Menzel,131,789,False
1966,The Pornographers,Shohei Imamura,207,42718,False
1966,The Battle of Algiers,Gillo Pontecorvo,249,17295,False
1966,Fighting Elegy,Seijun Suzuki,269,42721,False
1966,Young Törless,Volker Schlöndorff,279,45694,False
1966,The Sword of Doom,Kihachi Okamoto,280,19884,False
1966,Au Hasard Balthazar,Robert Bresson,297,20108,False
1966,Masculin féminin,Jean-Luc Godard,308,4710,False
1966,The Face of Another,Hiroshi Teshigahara,395,29452,False
1966,Patriotism,Domoto Masaki & Yukio Mishima,433,71827,False
1966,The Taking of Power by Louis XIV,Roberto Rossellini,456,69912,False
1966,Made in U.S.A,Jean-Luc Godard,481,29369,False
1966,Cul-de-sac,Roman Polanski,577,4772,False
1966,Seconds,John Frankenheimer,667,20620,True
1966,Persona,Ingmar Bergman,701,797,True
1966,The Shooting,Monte Hellman,734,42701,False
1966,Ride in the Whirlwind,Monte Hellman,735,60555,False
1966,Here Is Your Life,Jan Troell,766,9646,False
1966,Black Girl,Ousmane Sembène,852,95597,False
1966,Blow-Up,Michelangelo Antonioni,865,1052,False
1966,Law of the Border,Lüfti Ö. Akad,878,197297,False
1966,The Hero,Satyajit Ray,911,112999,True
1967,Branded to Kill,Seijun Suzuki,38,17905,False
1967,Playtime,Jacques Tati,112,10227,False
1967,The Firemen's Ball,Miloš Forman,145,38442,False
1967,I Am Curious (Yellow),Vilgot Sjöman,180,42695,False
1967,Le Samouraï,Jean-Pierre Melville,306,5511,False
1967,Samurai Rebellion,Masaki Kobayashi,310,27031,False
1967,Mouchette,Robert Bresson,363,1561,False
1967,The Two of Us,Claude Berri,388,62570,False
1967,2 or 3 Things I Know About Her,Jean-Luc Godard,482,8074,False
1967,Belle de jour,Luis Buñuel,593,649,False
1967,Weekend,Jean-Luc Godard,635,651058,True
1967,Weekend,Jean-Luc Godard,635,8075,True
1967,Marketa Lazarová,František Vláčil,661,25904,False
1967,The Young Girls of Rochefort,Jacques Demy,717,2433,False
1967,In Cold Blood,Richard Brooks,781,18900,True
1967,Dont Look Back,D. A. Pennebaker,787,135,False
1967,The Graduate,Mike Nichols,800,37247,False
1967,Valley of the Dolls,Mark Robson,835,3055,True
1967,Festival,Murray Lerner,892,16247,True
1967,Dragon Inn,King Hu,937,104237,False
1967,In the Heat of the Night,Norman Jewison,959,10633,False
1968,Stolen Kisses,François Truffaut,186,255,False
1968,Faces,John Cassavetes,252,753,True
1968,Kill!,Kihachi Okamoto,313,39029,True
1968,L'enfance nue,Maurice Pialat,534,31345,False
1968,Head,Bob Rafelson,544,18193,True
1968,Kuroneko,Kaneto Shindo,584,40149,False
1968,Rosemary's Baby,Roman Polanski,630,805,False
1968,Death by Hanging,Nagisa Oshima,798,98193,False
1968,The Immortal Story,Orson Welles,831,84636,False
1968,Night of the Living Dead,George A. Romero,909,10331,False
1968,Memories of Underdevelopment,Tomás Gutiérrez Alea,943,47576,False
1968,Shame,Ingmar Bergman,961,26372,True
1968,Teorema,Pier Paolo Pasolini,1013,5335,False
1968,Lucía,Humberto Solás,1045,88591,False
1969,Double Suicide,Masahiro Shinoda,104,45713,False
1969,My Night at Maud's,Éric Rohmer,345,48831,False
1969,Army of Shadows,Jean-Pierre Melville,385,15383,False
1969,The Milky Way,Luis Buñuel,402,35031,False
1969,Z,Costa Gavras,491,2721,True
1969,Downhill Racer,Michael Ritchie,494,33166,False
1969,Dillinger Is Dead,Marco Ferreri,506,56693,False
1969,Easy Rider,Dennis Hopper,545,624,False
1969,Kes,Ken Loach,561,13384,True
1969,Medium Cool,Haskell Wexler,658,42612,False
1969,Fellini Satyricon,Federico Fellini,747,11163,False
1969,Women in Love,Ken Russell,916,66027,False
1969,The Color of Pomegranates,Sergei Parajanov,918,26302,False
1969,Midnight Cowboy,John Schlesinger,925,3116,False
1969,The Cremator,Juraj Herz,1023,18352,False
1970,Gimme Shelter,Albert Maysles & David Maysles & Charlotte Zwerin,99,132,False
1970,Bed and Board,François Truffaut,187,258,False
1970,The Honeymoon Killers,Leonard Kastle,200,10237,False
1970,Le cercle rouge,Jean-Pierre Melville,218,11657,False
1970,Equinox,Jack Woods,338,28681,False
1970,Claire's Knee,Éric Rohmer,347,2860,False
1970,Dodes'ka-den,Akira Kurosawa,465,33205,False
1970,Five Easy Pieces,Bob Rafelson,546,26617,False
1970,Investigation of a Citizen Above Suspicion,Elio Petri,682,26451,False
1970,Donkey Skin,Jacques Demy,718,5590,False
